family	galga	gasac	ornan	oryla	homsa	sacce	cioin	hydma	nemve	pedhu	ampqu	drome	anoca	musmu	apime	mondo	anoga	danre	loxaf	ciosa	tetni
ORTHOMCL423	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	1
ORTHOMCL422	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2
ORTHOMCL421	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	1
ORTHOMCL352	1	1	1	1	1	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	1
ORTHOMCL355	0	2	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	2
ORTHOMCL354	0	2	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	1
ORTHOMCL724	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL357	1	2	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	2
ORTHOMCL725	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL356	1	1	2	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL894	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL727	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ORTHOMCL720	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0
ORTHOMCL721	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0
ORTHOMCL722	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1
ORTHOMCL723	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL748	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL749	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ORTHOMCL742	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL743	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL740	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL741	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL746	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
